,Taxon_ID,Species_name_IUCN,Species_name,Common_name,Redlist_category,Threatened,Population_trend,Decreasing,Body_mass,Bill_length,Range_size,Elevation_min,Elevation_max,Elevation_range,Human_footprint,Migratory_status,Migratory_score,Forest_depend_status,Forest_depend_score,Hermit,Body_mass_log,Bill_length_log,Range_size_log
212,22688189,Calothorax_pulcher,Calothorax_pulcher,Beautiful Hummingbird,Least Concern,0,Stable,0,2.7,21.4,52861.9,1000,2200,1200,34.53218497,Not a Migrant,0,Medium,0,0,0.993251773,3.063390922,10.87543813
213,22688193,Archilochus_colubris,Archilochus_colubris,Ruby-throated Hummingbird,Least Concern,0,Increasing,0,3.09,20.4,4936987.6,0,1500,1500,28.87820252,Full Migrant,1,Medium,0,0,1.128171091,3.015534901,15.41226591
214,22688196,Archilochus_alexandri,Archilochus_alexandri,Black-chinned Hummingbird,Least Concern,0,Increasing,0,3.39,21.63,2371676.8,0,2000,2000,19.4481724,Full Migrant,1,High,1,0,1.220829921,3.07408124,14.67910777
215,22688199,Calypte_anna,Calypte_anna,Anna's Hummingbird,Least Concern,0,Increasing,0,4.24,20.33,492758.2,0,1800,1800,15.75821479,Full Migrant,1,Medium,0,0,1.444563269,3.012097628,13.10777387
216,22688202,Calypte_costae,Calypte_costae,Costa's Hummingbird,Least Concern,0,Stable,0,3.09,18.88,563599.2,0,1000,1000,18.73771587,Full Migrant,1,Non-forest,0,0,1.128171091,2.938103161,13.24209864
217,22688211,Calliphlox_amethystina,Calliphlox_amethystina,Amethyst Woodstar,Least Concern,0,Decreasing,1,2.8,19.38,7988125,0,1500,1500,18.43846249,Full Migrant,1,Medium,0,0,1.029619417,2.964241606,15.89346662
218,22688214,Mellisuga_helenae,Mellisuga_helenae,Bee Hummingbird,Near Threatened,0,Decreasing,1,2.2,12.18,108875.9,0,500,500,41.95187492,Not a Migrant,0,Medium,0,0,0.78845736,2.499795262,11.59796398
219,22688229,Mellisuga_minima,Mellisuga_minima,Vervain Hummingbird,Least Concern,0,Stable,0,2.4,11.2,86168.4,0,1100,1100,38.75244767,Not a Migrant,0,Medium,0,0,0.875468737,2.415913778,11.3640588
220,22688235,Atthis_heloisa,Atthis_heloisa,Bumblebee Hummingbird,Least Concern,0,Stable,0,2.2,14.73,247486.7,1500,3000,1500,30.97354132,Not a Migrant,0,High,1,0,0.78845736,2.68988623,12.41911212
221,22688238,Atthis_ellioti,Atthis_ellioti,Wine-throated Hummingbird,Least Concern,0,Stable,0,2.9,14.83,94984.7,1500,3500,2000,36.31947435,Not a Migrant,0,High,1,0,1.064710737,2.696652156,11.4614711
222,22688241,Myrtis_fanny,Myrtis_fanny,Purple-collared Woodstar,Least Concern,0,Stable,0,2.3,20.08,256480,700,3200,2500,23.30331477,Not a Migrant,0,Low,0,0,0.832909123,2.999724295,12.45480597
223,22688248,Myrmia_micrura,Myrmia_micrura,Short-tailed Woodstar,Least Concern,0,Stable,0,2.21,14.93,72175.9,0,200,200,26.49828304,Not a Migrant,0,Non-forest,0,0,0.792992516,2.703372612,11.18686147
